Sponsor,Sponsor_Class,Total_Trials,Completed,Failed,Active,Mean_Success_Score,Completion_Efficiency_Percent,Failure_Percent
Novo Nordisk A/S,INDUSTRY,3,3,0,0,87.66666666666667,100.0,0.0
Forest Laboratories,INDUSTRY,5,5,0,0,78.0,100.0,0.0
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,15,15,0,0,77.2,100.0,0.0
Amoneta Diagnostics SAS,INDUSTRY,4,4,0,0,70.75,100.0,0.0
Optina Diagnostics Inc.,INDUSTRY,3,3,0,0,69.33333333333333,100.0,0.0
"Janssen Korea, Ltd., Korea",INDUSTRY,3,3,0,0,68.66666666666667,100.0,0.0
EIP Pharma Inc,INDUSTRY,3,3,0,0,68.0,100.0,0.0
Avanir Pharmaceuticals,INDUSTRY,3,3,0,0,65.33333333333333,100.0,0.0
"FUJIFILM Toyama Chemical Co., Ltd.",INDUSTRY,3,3,0,0,63.0,100.0,0.0
"Neuronetrix, Inc.",INDUSTRY,3,3,0,0,61.333333333333336,100.0,0.0
Anavex Life Sciences Corp.,INDUSTRY,4,4,0,0,60.75,100.0,0.0
Voyager Pharmaceutical Corporation,INDUSTRY,3,3,0,0,57.333333333333336,100.0,0.0
Johns Hopkins Bloomberg School of Public Health,OTHER,3,3,0,0,56.666666666666664,100.0,0.0
Universidad de Granada,OTHER,3,3,0,0,55.333333333333336,100.0,0.0
Axon Neuroscience SE,INDUSTRY,3,3,0,0,55.0,100.0,0.0
"Photozig, Inc.",INDUSTRY,6,6,0,0,54.666666666666664,100.0,0.0
Exonhit,INDUSTRY,3,3,0,0,54.0,100.0,0.0
Nxera Pharma UK Limited,INDUSTRY,4,4,0,0,52.25,100.0,0.0
Tetra Discovery Partners,INDUSTRY,4,4,0,0,52.0,100.0,0.0
University of Eastern Finland,OTHER,3,3,0,0,51.333333333333336,100.0,0.0
Brown University,OTHER,4,4,0,0,51.25,100.0,0.0
MODAG GmbH,INDUSTRY,3,3,0,0,49.666666666666664,100.0,0.0
Albert Einstein College of Medicine,OTHER,3,3,0,0,49.333333333333336,100.0,0.0
Icure Pharmaceutical Inc.,INDUSTRY,3,3,0,0,49.333333333333336,100.0,0.0
Penn State University,OTHER,5,5,0,0,47.4,100.0,0.0
Invicro,OTHER,4,4,0,0,45.75,100.0,0.0
"Translational Research Center for Medical Innovation, Kobe, Hyogo, Japan",OTHER,3,3,0,0,45.666666666666664,100.0,0.0
"MapHabit, Inc.",INDUSTRY,3,3,0,0,45.333333333333336,100.0,0.0
US Department of Veterans Affairs,FED,15,15,0,0,43.86666666666667,100.0,0.0
Posit Science Corporation,INDUSTRY,3,3,0,0,43.666666666666664,100.0,0.0
University of Aarhus,OTHER,3,3,0,0,43.333333333333336,100.0,0.0
Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia,OTHER,3,3,0,0,42.0,100.0,0.0
Université de Sherbrooke,OTHER,6,6,0,0,42.0,100.0,0.0
"Corium, Inc.",INDUSTRY,4,4,0,0,41.0,100.0,0.0
Norwegian Centre for Ageing and Health,OTHER,3,3,0,0,40.666666666666664,100.0,0.0
"Rsocialform - Geriatria, Lda",OTHER,3,3,0,0,40.666666666666664,100.0,0.0
"Kyowa Kirin Co., Ltd.",INDUSTRY,3,3,0,0,39.333333333333336,100.0,0.0
University of Kansas,OTHER,3,3,0,0,38.333333333333336,100.0,0.0
Medical University of South Carolina,OTHER,4,4,0,0,37.75,100.0,0.0
AlzeCure Pharma,INDUSTRY,3,3,0,0,37.666666666666664,100.0,0.0
"University of California, Berkeley",OTHER,6,6,0,0,37.333333333333336,100.0,0.0
Queen's University,OTHER,5,5,0,0,35.4,100.0,0.0
Elizabeth K Rhodus,OTHER,3,3,0,0,35.333333333333336,100.0,0.0
Seoul National University Bundang Hospital,OTHER,3,3,0,0,35.333333333333336,100.0,0.0
"Jeff Burns, MD",OTHER,4,4,0,0,35.25,100.0,0.0
The University of Texas at Arlington,OTHER,3,3,0,0,32.666666666666664,100.0,0.0
Centre Hospitalier Princesse Grace,OTHER,3,3,0,0,32.0,100.0,0.0
University of Alberta,OTHER,4,4,0,0,32.0,100.0,0.0
Medipost Co Ltd.,INDUSTRY,3,3,0,0,31.666666666666668,100.0,0.0
"University Hospital, Clermont-Ferrand",OTHER,3,3,0,0,29.333333333333332,100.0,0.0
South China Center For Innovative Pharmaceuticals,OTHER,3,3,0,0,27.666666666666668,100.0,0.0
Wyeth is now a wholly owned subsidiary of Pfizer,INDUSTRY,32,30,2,0,41.125,93.8,6.2
Novartis,INDUSTRY,15,14,1,0,63.0,93.3,6.7
"Genentech, Inc.",INDUSTRY,12,11,1,0,50.916666666666664,91.7,8.3
Avid Radiopharmaceuticals,INDUSTRY,42,38,4,0,63.73809523809524,90.5,9.5
GE Healthcare,INDUSTRY,9,8,1,0,73.33333333333333,88.9,11.1
Alzheimer's Disease Cooperative Study (ADCS),OTHER,9,8,0,1,59.22222222222222,88.9,0.0
Cognition Therapeutics,INDUSTRY,9,8,0,1,52.0,88.9,0.0
National Institute of Neurological Disorders and Stroke (NINDS),NIH,9,8,1,0,46.77777777777778,88.9,11.1
Molecular NeuroImaging,OTHER,9,8,1,0,42.77777777777778,88.9,11.1
Icahn School of Medicine at Mount Sinai,OTHER,16,14,0,2,32.4375,87.5,0.0
XuanwuH 2,OTHER,7,6,0,0,58.142857142857146,85.7,0.0
The Cleveland Clinic,OTHER,7,6,0,1,44.285714285714285,85.7,0.0
University of Minnesota,OTHER,14,12,1,1,39.57142857142857,85.7,7.1
University of Florida,OTHER,7,6,0,1,39.285714285714285,85.7,0.0
Janssen Pharmaceutical K.K.,INDUSTRY,6,5,1,0,59.833333333333336,83.3,16.7
VA Office of Research and Development,FED,18,15,0,2,51.27777777777778,83.3,0.0
"University of California, San Diego",OTHER,6,5,0,1,45.666666666666664,83.3,0.0
Radboud University Medical Center,OTHER,6,5,0,1,43.833333333333336,83.3,0.0
CHU de Reims,OTHER,6,5,0,0,39.666666666666664,83.3,0.0
Thomas Jefferson University,OTHER,6,5,0,1,39.333333333333336,83.3,0.0
Florida State University,OTHER,6,5,0,1,37.166666666666664,83.3,0.0
Case Western Reserve University,OTHER,6,5,0,1,36.333333333333336,83.3,0.0
University of Kansas Medical Center,OTHER,22,18,0,4,45.18181818181818,81.8,0.0
Lantheus Biosciences Ltd.,INDUSTRY,5,4,0,1,73.2,80.0,0.0
Alzheon Inc.,INDUSTRY,5,4,1,0,69.8,80.0,20.0
"Axsome Therapeutics, Inc.",INDUSTRY,5,4,1,0,68.6,80.0,20.0
"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,15,12,3,0,65.4,80.0,20.0
National Institute of Mental Health (NIMH),NIH,15,12,1,2,51.53333333333333,80.0,6.7
Beth Israel Deaconess Medical Center,OTHER,5,4,0,1,46.8,80.0,0.0
University of Texas Southwestern Medical Center,OTHER,5,4,0,1,46.8,80.0,0.0
CERESPIR,INDUSTRY,5,4,1,0,44.0,80.0,20.0
University of Pittsburgh,OTHER,15,12,0,3,42.733333333333334,80.0,0.0
"University of Massachusetts, Worcester",OTHER,5,4,0,1,39.6,80.0,0.0
"Janssen Research & Development, LLC",INDUSTRY,19,15,4,0,53.78947368421053,78.9,21.1
Eisai Inc.,INDUSTRY,23,18,2,3,59.47826086956522,78.3,8.7
Sanofi,INDUSTRY,9,7,2,0,58.22222222222222,77.8,22.2
"University Hospital, Bordeaux",OTHER,18,14,0,3,53.611111111111114,77.8,0.0
New York State Psychiatric Institute,OTHER,9,7,1,1,48.333333333333336,77.8,11.1
Northwell Health,OTHER,9,7,0,2,43.888888888888886,77.8,0.0
AstraZeneca,INDUSTRY,26,20,6,0,49.76923076923077,76.9,23.1
Sinotau Pharmaceutical Group,INDUSTRY,4,3,0,1,69.5,75.0,0.0
Eisai Korea Inc.,INDUSTRY,8,6,1,1,64.75,75.0,12.5
"Eisai Co., Ltd.",INDUSTRY,8,6,1,1,58.125,75.0,12.5
LeonaBio,INDUSTRY,4,3,1,0,56.75,75.0,25.0
Douglas Mental Health University Institute,OTHER,4,3,0,1,55.0,75.0,0.0
"OPKO Health, Inc.",INDUSTRY,4,3,1,0,54.75,75.0,25.0
Rush University Medical Center,OTHER,4,3,0,1,53.75,75.0,0.0
Seattle Institute for Biomedical and Clinical Research,OTHER,4,3,0,0,51.75,75.0,0.0
Boehringer Ingelheim,INDUSTRY,8,6,2,0,51.0,75.0,25.0
Alector Inc.,INDUSTRY,4,3,1,0,48.25,75.0,25.0
"Dongzhimen Hospital, Beijing",OTHER,4,3,0,0,44.75,75.0,0.0
National Human Genome Research Institute (NHGRI),NIH,4,3,1,0,44.25,75.0,25.0
University of Iowa,OTHER,4,3,0,1,44.0,75.0,0.0
University of Michigan,OTHER,12,9,0,3,42.666666666666664,75.0,0.0
"Neurotrope Bioscience, Inc.",INDUSTRY,4,3,1,0,41.25,75.0,25.0
Federal University of Minas Gerais,OTHER,4,3,0,0,39.0,75.0,0.0
Neuronix Ltd,INDUSTRY,4,3,1,0,35.75,75.0,25.0
"University Hospital, Limoges",OTHER,4,3,1,0,34.75,75.0,25.0
Pfizer,INDUSTRY,62,46,16,0,47.306451612903224,74.2,25.8
Emory University,OTHER,26,19,1,6,43.84615384615385,73.1,3.8
University of Washington,OTHER,26,19,1,2,41.61538461538461,73.1,3.8
Brigham and Women's Hospital,OTHER,11,8,0,3,43.0,72.7,0.0
"University Hospital, Tours",OTHER,11,8,0,3,39.09090909090909,72.7,0.0
Affiris AG,INDUSTRY,11,8,3,0,36.54545454545455,72.7,27.3
"University of Wisconsin, Madison",OTHER,25,18,2,5,44.56,72.0,8.0
Novartis Pharmaceuticals,INDUSTRY,21,15,4,2,63.714285714285715,71.4,19.0
"AbbVie (prior sponsor, Abbott)",INDUSTRY,7,5,2,0,57.57142857142857,71.4,28.6
University of Bern,OTHER,7,5,1,1,36.714285714285715,71.4,14.3
National Institute on Aging (NIA),NIH,41,29,2,1,49.829268292682926,70.7,4.9
TauRx Therapeutics Ltd,INDUSTRY,10,7,2,0,54.5,70.0,20.0
NYU Langone Health,OTHER,23,16,2,5,43.69565217391305,69.6,8.7
GlaxoSmithKline,INDUSTRY,31,21,7,3,51.16129032258065,67.7,22.6
Altoida,INDUSTRY,3,2,0,1,77.33333333333333,66.7,0.0
Axovant Sciences Ltd.,INDUSTRY,3,2,1,0,65.33333333333333,66.7,33.3
"T3D Therapeutics, Inc.",INDUSTRY,3,2,0,1,64.0,66.7,0.0
Merz Pharmaceuticals GmbH,INDUSTRY,3,2,1,0,62.333333333333336,66.7,33.3
AB Science,INDUSTRY,3,2,0,1,62.0,66.7,0.0
Eisai Limited,INDUSTRY,3,2,0,1,61.333333333333336,66.7,0.0
Neurim Pharmaceuticals Ltd.,INDUSTRY,3,2,0,1,60.666666666666664,66.7,0.0
Actinogen Medical,INDUSTRY,3,2,0,1,59.333333333333336,66.7,0.0
GemVax & Kael,INDUSTRY,3,2,1,0,57.333333333333336,66.7,33.3
"Barcelonabeta Brain Research Center, Pasqual Maragall Foundation",OTHER,15,10,0,5,54.86666666666667,66.7,0.0
"University of California, Irvine",OTHER,3,2,0,1,53.666666666666664,66.7,0.0
Vivoryon Therapeutics N.V.,INDUSTRY,3,2,1,0,53.333333333333336,66.7,33.3
University of Edinburgh,OTHER,3,2,1,0,52.666666666666664,66.7,33.3
Patrick Lao,OTHER,3,2,0,1,51.666666666666664,66.7,0.0
Ipsen,INDUSTRY,3,2,1,0,51.333333333333336,66.7,33.3
Karolinska Institutet,OTHER,9,6,0,3,49.0,66.7,0.0
"Orasi Medical, Inc.",INDUSTRY,3,2,0,0,49.0,66.7,0.0
Acumen Pharmaceuticals,INDUSTRY,3,2,0,1,48.666666666666664,66.7,0.0
Chung Shan Medical University,OTHER,3,2,0,1,47.666666666666664,66.7,0.0
Brasilia University Hospital,OTHER,3,2,0,0,46.666666666666664,66.7,0.0
"University Hospital, Toulouse",OTHER,18,12,1,4,46.611111111111114,66.7,5.6
Hopeful Aging,INDUSTRY,6,4,0,2,46.0,66.7,0.0
Florida Atlantic University,OTHER,3,2,0,1,44.333333333333336,66.7,0.0
Georgetown University,OTHER,3,2,0,1,44.0,66.7,0.0
"Chase Pharmaceuticals Corporation, an affiliate of Allergan plc",INDUSTRY,3,2,1,0,42.0,66.7,33.3
University Hospital of North Norway,OTHER,3,2,0,1,42.0,66.7,0.0
The University of Texas Health Science Center at San Antonio,OTHER,9,6,0,3,40.44444444444444,66.7,0.0
InSightec,INDUSTRY,3,2,0,1,40.333333333333336,66.7,0.0
University of Chicago,OTHER,9,6,0,3,40.0,66.7,0.0
"University of North Carolina, Chapel Hill",OTHER,9,6,0,3,39.888888888888886,66.7,0.0
Universidad Católica San Antonio de Murcia,OTHER,3,2,0,1,38.666666666666664,66.7,0.0
Yeditepe University,OTHER,3,2,0,1,38.333333333333336,66.7,0.0
Medical University of Graz,OTHER,3,2,0,0,38.0,66.7,0.0
Centre Hospitalier Universitaire de Nīmes,OTHER,3,2,1,0,37.666666666666664,66.7,33.3
Baylor College of Medicine,OTHER,6,4,0,2,37.166666666666664,66.7,0.0
Gulhane Training and Research Hospital,OTHER_GOV,3,2,0,0,36.333333333333336,66.7,0.0
The Hong Kong Polytechnic University,OTHER,3,2,0,0,36.333333333333336,66.7,0.0
Universita di Verona,OTHER,3,2,1,0,35.333333333333336,66.7,33.3
Baylor University,OTHER,3,2,0,1,34.333333333333336,66.7,0.0
"Shanghai Hengrui Pharmaceutical Co., Ltd.",INDUSTRY,3,2,1,0,33.333333333333336,66.7,33.3
Daniela Moga,OTHER,3,2,1,0,32.0,66.7,33.3
Universidad de Burgos,OTHER,3,2,0,1,31.666666666666668,66.7,0.0
Ohio State University,OTHER,6,4,1,1,30.5,66.7,16.7
University of Arkansas,OTHER,3,2,1,0,25.333333333333332,66.7,33.3
Merck Sharp & Dohme LLC,INDUSTRY,31,20,10,1,45.54838709677419,64.5,32.3
Cerecin,INDUSTRY,14,9,4,1,42.214285714285715,64.3,28.6
Seoul National University Hospital,OTHER,11,7,1,1,46.90909090909091,63.6,9.1
"University of California, Los Angeles",OTHER,22,14,2,5,46.54545454545455,63.6,9.1
AbbVie,INDUSTRY,11,7,3,1,44.72727272727273,63.6,27.3
"University of California, San Francisco",OTHER,19,12,1,5,42.421052631578945,63.2,5.3
CanSino Biologics Inc.,INDUSTRY,8,5,2,0,56.375,62.5,25.0
"Charite University, Berlin, Germany",OTHER,8,5,1,0,46.5,62.5,12.5
Duke University,OTHER,18,11,2,5,48.77777777777778,61.1,11.1
Assistance Publique - Hôpitaux de Paris,OTHER,28,17,1,9,47.5,60.7,3.6
Annovis Bio Inc.,INDUSTRY,5,3,1,1,62.4,60.0,20.0
"Janssen Pharmaceutica N.V., Belgium",INDUSTRY,5,3,1,1,59.4,60.0,20.0
Eli Lilly and Company,INDUSTRY,55,33,6,16,56.8,60.0,10.9
H. Lundbeck A/S,INDUSTRY,15,9,6,0,56.06666666666667,60.0,40.0
Bristol-Myers Squibb,INDUSTRY,20,12,1,7,54.6,60.0,5.0
IRCCS Centro San Giovanni di Dio Fatebenefratelli,OTHER,5,3,0,1,50.4,60.0,0.0
University of Pennsylvania,OTHER,20,12,0,8,47.3,60.0,0.0
Helse Stavanger HF,OTHER_GOV,5,3,0,2,47.0,60.0,0.0
Technical University of Munich,OTHER,5,3,0,2,41.8,60.0,0.0
Kaiser Permanente,OTHER,5,3,0,2,41.2,60.0,0.0
University of Miami,OTHER,5,3,0,2,40.4,60.0,0.0
Kırıkkale University,OTHER,5,3,0,0,30.4,60.0,0.0
Oregon Health and Science University,OTHER,17,10,2,2,31.41176470588235,58.8,11.8
University of Southern California,OTHER,24,14,1,9,53.625,58.3,4.2
